uid,dataset,otsu_iou,otsu+ref_iou,box_iou,box+ref_iou,mvp_iou,mvp+ref_iou
ddti_27df9b9068,ddti,0.48990825688073397,0.7076780758556892,0.5053025577043044,0.710720887245841,0.48990825688073397,0.7076780758556892
ddti_f242f7bf6e,ddti,0.576069670579326,0.6304125151317628,0.5669639511354269,0.6288479262672811,0.5669639511354269,0.6288479262672811
ddti_90696b2b43,ddti,0.6,0.6909527622097679,0.6153846153846154,0.6715566422167889,0.6909527622097679,0.6909527622097679
ddti_ba1514aeb9,ddti,0.3431528662420382,0.4250450856627592,0.711083980116857,0.8394469840561936,0.3431528662420382,0.4250450856627592
ddti_c8fbd8e3a2,ddti,0.778044985146414,0.8737536762068718,0.6891792522201482,0.8204994019138756,0.8204994019138756,0.8204994019138756
ddti_e33a37bf51,ddti,0.4027576197387518,0.4468796433878158,0.640391254315305,0.7240532959326789,0.4468796433878158,0.4468796433878158
ddti_33e5e1f317,ddti,0.32831891688604736,0.5679501221669896,0.6690732557415822,0.8138462701231955,0.32831891688604736,0.5679501221669896
ddti_cd5c4e3c0d,ddti,0.7085106382978723,0.6919060052219321,0.7054924242424242,0.8120204603580563,0.6919060052219321,0.6919060052219321
ddti_939c619c88,ddti,0.5784835529185934,0.7899167795626089,0.6206213289929942,0.8063741960257271,0.6206213289929942,0.8063741960257271
ddti_a0e522ad71,ddti,0.28782983306408183,0.512097372717827,0.8209671465485419,0.7837062535857716,0.8209671465485419,0.7837062535857716
ddti_37e3d077d2,ddti,0.5264274249025452,0.6899229472670358,0.8238570198977268,0.7704029392278504,0.5264274249025452,0.6899229472670358
ddti_4c301e1cf4,ddti,0.4951174452362101,0.6625546132099718,0.5900446502397884,0.6436327739387957,0.4951174452362101,0.6625546132099718
ddti_1113200ee2,ddti,0.3435291930085534,0.6044768661936645,0.44494242141300966,0.5776375744830003,0.3435291930085534,0.6044768661936645
ddti_9c9f67679d,ddti,0.6168487839266831,0.7258145363408521,0.6055363321799307,0.7270446562970396,0.7270446562970396,0.7270446562970396
ddti_6ec5864d97,ddti,0.5556741373176806,0.8340200117716303,0.5578378378378378,0.8566453859547302,0.8340200117716303,0.8340200117716303
ddti_06d0f20618,ddti,0.35663006756756754,0.40865259317174873,0.677020825979527,0.8224694104560623,0.677020825979527,0.8224694104560623
ddti_1ab2f73c47,ddti,0.02495080123699747,0.25394370553665324,0.4888922170635515,0.6479681382476036,0.6479681382476036,0.6479681382476036
ddti_0021c0606c,ddti,0.4151606425702811,0.6230960952644696,0.666923076923077,0.8167298321602598,0.4151606425702811,0.6230960952644696
ddti_7e1535d854,ddti,0.2244983864178476,0.4832140015910899,0.6465403261348611,0.7589273861675295,0.2244983864178476,0.4832140015910899
ddti_7d9bfb7978,ddti,0.6155988857938719,0.7856502242152467,0.6143154968728284,0.7899008115419297,0.7856502242152467,0.7856502242152467
tn3k_ba14c8a36b,tn3k,0.6717560553633218,0.8471252139321893,0.7712189245427664,0.8997276441216523,0.6717560553633218,0.8471252139321893
tn3k_e12b0ef506,tn3k,0.6423962757268866,0.8078775857183338,0.7238866100205098,0.9140948438088069,0.7238866100205098,0.9140948438088069
tn3k_be4c155142,tn3k,0.8281025050388713,0.8001781472684085,0.7491533623609096,0.7966401414677277,0.8001781472684085,0.8001781472684085
tn3k_8b669ded91,tn3k,0.7052860246198407,0.8059163059163059,0.5209302325581395,0.8199121522693997,0.5209302325581395,0.8199121522693997
tn3k_33814ec0d8,tn3k,0.5198067632850242,0.5487213196857295,0.6389063764727044,0.5565184744861246,0.5198067632850242,0.5487213196857295
tn3k_07164549ce,tn3k,0.8475750577367206,0.9105431309904153,0.6294758692267773,0.8984,0.9105431309904153,0.9105431309904153
