method,uid,dataset,modality,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,pred_pt_err,n_miss,n_fp,rough_pt_err
rough_otsu__detstats,busi_11c694f20f,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner_box,busi_11c694f20f,busi,breast,0.8238672614097595,1,1,0.9034289713086074,0.8238672622846203,4.47213595499958,1.7130774122123593,0.7088459285295841,0.04727793696275072,1.7987478971481323,,,4.1209306716918945
refiner_box__detstats,busi_11c694f20f,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner_gtbox,busi_11c694f20f,busi,breast,0.8676861524581909,1,1,0.9291562833748666,0.867686170212766,3.7436083290515794,1.1936425522029392,0.80807082724003,0.012177650429799427,1.4410650730133057,,,1.8791230916976929
refiner_gtbox__detstats,busi_11c694f20f,busi,breast,,1,1,,,,,,,,0.0,0.0,
rough_otsu_gtbox,busi_11c694f20f,busi,breast,0.843589723110199,1,1,0.9151599443671766,0.8435897435897436,5.227784895686555,1.5628550791594038,0.7286383317133516,0.06017191977077364,1.8766200542449951,,,1.8766200542449951
rough_otsu_gtbox__detstats,busi_11c694f20f,busi,breast,,1,1,,,,,,,,0.0,0.0,
yolo26n_seg,busi_dcf573aebc,busi,breast,0.9432991743087769,1,1,0.9708223844282239,0.9432991640503839,5.0,2.1976034635590644,0.5347738014854827,0.00198737432779986,2.3080263137817383,,,
yolo26n_seg__detstats,busi_dcf573aebc,busi,breast,,1,1,,,,,,,,0.0,0.0,
seg_refiner,busi_dcf573aebc,busi,breast,0.9284597039222717,1,1,0.9629028747798903,0.928459689419665,7.615773105863909,2.9837394481473742,0.3956621330764657,0.03043410490219001,3.0999772548675537,,,2.5993072986602783
seg_refiner__detstats,busi_dcf573aebc,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner,busi_dcf573aebc,busi,breast,0.9196059703826904,1,1,0.9581195231704429,0.9196059859821936,7.810249675906654,3.267157808762616,0.38486376149623225,0.025563089392876628,3.610217332839966,,,9.56213665008545
refiner__detstats,busi_dcf573aebc,busi,breast,,1,1,,,,,,,,0.0,0.0,
rough_otsu,busi_dcf573aebc,busi,breast,0.852737545967102,1,1,0.9205162766000898,0.8527375231752998,24.0,6.8207113503380645,0.24361631879647438,0.09188683656768763,9.574738502502441,,,9.574738502502441
rough_otsu__detstats,busi_dcf573aebc,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner_box,busi_dcf573aebc,busi,breast,0.9082112908363342,1,1,0.9518980402905304,0.9082112970711297,10.0,3.894205725120074,0.34410234514603794,0.009547190398254229,4.175936698913574,,,13.799497604370117
refiner_box__detstats,busi_dcf573aebc,busi,breast,,1,1,,,,,,,,0.0,0.0,
refiner_gtbox,busi_dcf573aebc,busi,breast,0.9095612168312073,1,1,0.95263896468387,0.909561204361904,9.219544457292887,3.914537542388354,0.32834532148211726,0.0006234899851921129,4.4225239753723145,,,8.755125045776367
refiner_gtbox__detstats,busi_dcf573aebc,busi,breast,,1,1,,,,,,,,0.0,0.0,
rough_otsu_gtbox,busi_dcf573aebc,busi,breast,0.8462525010108948,1,1,0.9167245535896702,0.8462524989626947,22.636221573170175,6.6085550666073,0.2665296170578955,0.09266619904917778,8.784688949584961,,,8.784688949584961
rough_otsu_gtbox__detstats,busi_dcf573aebc,busi,breast,,1,1,,,,,,,,0.0,0.0,
