method,uid,dataset,modality,match_iou,n_gt,n_pred,dice,iou,hd95,assd,bf1,area_err,pred_pt_err,n_miss,n_fp,rough_pt_err,eval
refiner_gtbox,busi_d07111ff97,busi,breast,0.7611920237541199,1,1,0.8644054701382987,0.7611919989114165,18.22765999370167,5.116262074544187,0.3660740308947829,0.2125397044607098,5.2805609703063965,,,9.95139217376709,v2_eval_A1
rough_otsu_gtbox,busi_d07111ff97,busi,breast,0.6048786640167236,1,1,0.7537998862066163,0.6048786851030524,22.235018603939185,8.655614091249237,0.2377397496267371,0.3009252865626294,9.92637062072754,,,9.92637062072754,v2_eval_A1
yolo26n_seg,busi_5297c4215c,busi,breast,0.8573172688484192,1,1,0.923178053376572,0.857317271691356,9.486832980505138,3.568124960900452,0.4347121587330704,0.0814696485623003,4.4337005615234375,,,,v2_eval_A1
refiner,busi_5297c4215c,busi,breast,0.7800502777099609,1,1,0.8764362403465813,0.7800502933780386,9.219544457292889,5.7061641541988966,0.0441370487346579,0.2145619640154699,6.062631607055664,,,6.583069801330566,v2_eval_A1
rough_otsu,busi_5297c4215c,busi,breast,0.8091477155685425,1,1,0.8945070796796113,0.8091477233706477,16.139946006547344,5.77635929910377,0.342144818325751,0.2148141920295947,6.586071968078613,,,6.586071968078613,v2_eval_A1
refiner_gtbox,busi_5297c4215c,busi,breast,0.8457406759262085,1,1,0.9164241542379048,0.8457406630297943,8.94427190999916,3.856287444935991,0.3706196522971279,0.1510005044560282,4.021338939666748,,,6.643379211425781,v2_eval_A1
rough_otsu_gtbox,busi_5297c4215c,busi,breast,0.752159595489502,1,1,0.8585514521333811,0.7521595727972358,19.1049731745428,5.482987042780002,0.4087463130439022,0.1240961829493862,6.667491912841797,,,6.667491912841797,v2_eval_A1
yolo26n_seg,busi_b5c3b1d7df,busi,breast,0.9179745316505432,1,1,0.9572332762177852,0.9179745137491616,7.582206784205524,2.271597986896306,0.6076435322907854,0.0098127914259864,2.9206764698028564,,,,v2_eval_A1
refiner,busi_b5c3b1d7df,busi,breast,0.9241677522659302,1,1,0.9605895771187928,0.9241677358363156,4.123105625617661,2.0031513744211824,0.5950631224734073,0.0169114065001043,2.269980907440185,,,6.918738842010498,v2_eval_A1
rough_otsu,busi_b5c3b1d7df,busi,breast,0.7872449159622192,1,1,0.880959198282033,0.7872449305955351,17.5028032009568,5.742997900443199,0.2752805441125668,0.0555362238151576,6.987974643707275,,,6.987974643707275,v2_eval_A1
refiner_gtbox,busi_b5c3b1d7df,busi,breast,0.8833713531494141,1,1,0.9380745385876148,0.8833713595490538,7.615773105863909,3.188300424425531,0.4331747565598751,0.046767346370659,3.323331356048584,,,5.945369243621826,v2_eval_A1
rough_otsu_gtbox,busi_b5c3b1d7df,busi,breast,0.8139366507530212,1,1,0.8974256562942522,0.8139366396627807,16.34613997501606,5.049631679210018,0.3637634168157424,0.0833043357227364,5.89143180847168,,,5.89143180847168,v2_eval_A1
yolo26n_seg,busi_16e7d3f1d9,busi,breast,0.0,1,2,0.0,0.0,,,0.0,,,,,,v2_eval_A1
refiner,busi_16e7d3f1d9,busi,breast,0.8261545300483704,1,1,0.9048024437878712,0.8261545496113397,15.29378643894789,6.222402236294585,0.176979374584165,0.1647826486536164,7.218425750732422,,,7.738509178161621,v2_eval_A1
rough_otsu,busi_16e7d3f1d9,busi,breast,0.7884786128997803,1,1,0.8817311103228095,0.7884786194645349,19.6468827043885,6.564113417340115,0.2877426872061672,0.0569341053212021,7.74066686630249,,,7.74066686630249,v2_eval_A1
refiner_gtbox,busi_16e7d3f1d9,busi,breast,0.8186021447181702,1,1,0.9002542393799521,0.8186021457108228,16.3644998056296,6.398707174324759,0.2078028747433264,0.1383604448120577,8.479951858520508,,,10.16167449951172,v2_eval_A1
